T/s,theta 1 torque/Nm,theta 2 torque/Nm
0,0,0
0.0001,0,0
0.0002,0,0
0.0003,-6.55E-06,-6.55E-06
0.0004,-5.31E-05,-5.31E-05
0.0005,-0.000229331,-0.000229292
0.0006,-0.000662333,-0.000660211
0.0007,-0.001504264,-0.001482026
0.0008,-0.002923898,-0.002808014
0.0009,-0.005100474,-0.004717214
0.001,-0.00821869,-0.007258447
0.0011,-0.012464038,-0.010462749
0.0012,-0.01801838,-0.014363911
0.0013,-0.025056027,-0.019090264
0.0014,-0.033740707,-0.024878458
0.0015,-0.044224867,-0.0320467
0.0016,-0.056652186,-0.040966347
0.0017,-0.071162324,-0.052034972
0.0018,-0.087896586,-0.065652058
0.0019,-0.107003425,-0.082117741
0.002,-0.128629898,-0.101602001
0.0021,-0.152730627,-0.124075407
0.0022,-0.178382432,-0.149320677
0.0023,-0.205533131,-0.176976195
0.0024,-0.234197314,-0.206560423
0.0025,-0.26444504,-0.237581703
0.0026,-0.296365004,-0.269606448
0.0027,-0.330030749,-0.302285994
0.0028,-0.365475029,-0.33536647
0.0029,-0.402674513,-0.368692499
0.003,-0.441612146,-0.402203306
0.0031,-0.4822132,-0.435934568
0.0032,-0.524332099,-0.470078694
0.0033,-0.567773464,-0.504886915
0.0034,-0.612316796,-0.540602345
0.0035,-0.657743502,-0.577434953
0.0036,-0.703860219,-0.615544092
0.0037,-0.750515681,-0.655025744
0.0038,-0.797610413,-0.695906088
0.0039,-0.845049827,-0.738128817
0.004,-0.892683507,-0.781479641
0.0041,-0.940378861,-0.825608181
0.0042,-0.988058075,-0.870157744
0.0043,-1.035709789,-0.914809416
0.0044,-1.083355295,-0.95928595
0.0045,-1.131022704,-1.003358633
0.0046,-1.1787381,-1.046853125
0.0047,-1.226595021,-1.08965241
0.0048,-1.274717631,-1.131696172
0.0049,-1.323151938,-1.172978866
0.005,-1.371867088,-1.21354744
0.0051,-1.420770273,-1.253499461
0.0052,-1.469724144,-1.29296439
0.0053,-1.518564934,-1.332087884
0.0054,-1.567040488,-1.371014406
0.0055,-1.614813229,-1.409870725
0.0056,-1.661496635,-1.448749851
0.0057,-1.706776325,-1.48769482
0.0058,-1.750455856,-1.526671407
0.0059,-1.792456483,-1.5654958
0.006,-1.832843312,-1.603916355
0.0061,-1.871748685,-1.64166073
0.0062,-1.909334177,-1.678452285
0.0063,-1.945764447,-1.714032161
0.0064,-1.981184367,-1.748179528
0.0065,-2.015701496,-1.78072745
0.0066,-2.049374865,-1.811572727
