T/s,ref/rad,theta 1/rad,theta 2/rad
0,0,0,0
0.0001,0,0,0
0.0002,0,0,0
0.0003,0,6.01E-11,-8.55E-11
0.0004,0,5.85E-10,-8.38E-10
0.0005,0,2.96E-09,-4.28E-09
0.0006,0,9.92E-09,-1.45E-08
0.0007,0,2.44E-08,-3.65E-08
0.0008,0,4.53E-08,-7.16E-08
0.0009,0,6.24E-08,-1.11E-07
0.001,0,5.17E-08,-1.30E-07
0.0011,0,-2.49E-08,-9.08E-08
0.0012,0,-2.17E-07,6.07E-08
0.0013,0,-5.75E-07,3.76E-07
0.0014,0,-1.13E-06,8.87E-07
0.0015,0,-1.89E-06,1.59E-06
0.0016,0,-2.82E-06,2.44E-06
0.0017,0,-3.86E-06,3.37E-06
0.0018,0,-4.92E-06,4.24E-06
0.0019,0,-5.90E-06,4.94E-06
0.002,0,-6.71E-06,5.35E-06
0.0021,0,-7.28E-06,5.38E-06
0.0022,0,-7.50E-06,4.89E-06
0.0023,0,-7.29E-06,3.76E-06
0.0024,0,-6.63E-06,1.98E-06
0.0025,0,-5.61E-06,-3.65E-07
0.0026,0,-4.38E-06,-3.12E-06
0.0027,0,-3.10E-06,-6.08E-06
0.0028,0,-1.99E-06,-9.04E-06
0.0029,0,-1.21E-06,-1.18E-05
0.003,0,-9.23E-07,-1.41E-05
0.0031,0,-1.23E-06,-1.60E-05
0.0032,0,-2.17E-06,-1.73E-05
0.0033,0,-3.74E-06,-1.81E-05
0.0034,0,-5.83E-06,-1.85E-05
0.0035,0,-8.34E-06,-1.86E-05
0.0036,0,-1.11E-05,-1.87E-05
0.0037,0,-1.39E-05,-1.88E-05
0.0038,0,-1.67E-05,-1.93E-05
0.0039,0,-1.93E-05,-2.01E-05
0.004,0,-2.17E-05,-2.15E-05
0.0041,0,-2.37E-05,-2.35E-05
0.0042,0,-2.54E-05,-2.60E-05
0.0043,0,-2.69E-05,-2.91E-05
0.0044,0,-2.83E-05,-3.25E-05
0.0045,0,-2.96E-05,-3.62E-05
0.0046,0,-3.10E-05,-4.00E-05
0.0047,0,-3.26E-05,-4.39E-05
0.0048,0,-3.45E-05,-4.76E-05
0.0049,0,-3.69E-05,-5.10E-05
0.005,0,-3.98E-05,-5.40E-05
0.0051,0,-4.32E-05,-5.67E-05
0.0052,0,-4.72E-05,-5.89E-05
0.0053,0,-5.16E-05,-6.08E-05
0.0054,0,-5.65E-05,-6.25E-05
0.0055,0,-6.16E-05,-6.40E-05
0.0056,0,-6.69E-05,-6.56E-05
0.0057,0,-7.20E-05,-6.75E-05
0.0058,0,-7.70E-05,-6.99E-05
0.0059,0,-8.15E-05,-7.30E-05
0.006,0,-8.56E-05,-7.67E-05
0.0061,0,-8.92E-05,-8.12E-05
0.0062,0,-9.25E-05,-8.63E-05
0.0063,0,-9.55E-05,-9.19E-05
0.0064,0,-9.84E-05,-9.78E-05
0.0065,0,-0.000101262,-0.000103809
0.0066,0,-0.000104349,-0.000109789
0.0067,0,-0.000107748,-0.000115568
0.0068,0,-0.000111547,-0.000121037
0.0069,0,-0.00011579,-0.000126138
0.007,0,-0.000120476,-0.000130865
0.0071,0,-0.000125563,-0.00013526
0.0072,0,-0.000130975,-0.000139401
0.0073,0,-0.000136615,-0.000143393
0.0074,0,-0.000142376,-0.000147352
0.0075,0,-0.000148153,-0.000151391
0.0076,0,-0.000153853,-0.000155612
0.0077,0,-0.000159404,-0.000160088
0.0078,0,-0.000164753,-0.000164874
0.0079,0,-0.000169859,-0.000170008
0.008,0,-0.000174684,-0.000175524
0.0081,0,-0.0001792,-0.000181446
0.0082,0,-0.000183392,-0.00018778
0.0083,0,-0.000187274,-0.000194498
0.0084,0,-0.000190901,-0.000201528
0.0085,0,-0.000194373,-0.000208742
0.0086,0,-0.000197836,-0.000215967
0.0087,0,-0.000201463,-0.000222991
0.0088,0,-0.000205446,-0.000229585
0.0089,0,-0.000209966,-0.000235532
0.009,0,-0.00021516,-0.000240662
0.0091,0,-0.000221097,-0.000244886
0.0092,0,-0.000227768,-0.0002482
0.0093,0,-0.000235089,-0.000250689
0.0094,0,-0.000242912,-0.000252509
0.0095,0,-0.000251041,-0.000253874
0.0096,0,-0.000259241,-0.000255042
0.0097,0,-0.000267253,-0.000256299
0.0098,0,-0.000274821,-0.00025793
0.0099,0,-0.000281726,-0.000260178
0.01,0,-0.000287821,-0.000263203
0.0101,0,-0.000293052,-0.000267059
0.0102,0,-0.000297458,-0.000271695
0.0103,0,-0.000301157,-0.000276968
0.0104,0,-0.00030432,-0.000282673
0.0105,0,-0.000307155,-0.000288565
0.0106,0,-0.000309876,-0.00029439
0.0107,0,-0.00031268,-0.000299913
0.0108,0,-0.00031573,-0.000304941
0.0109,0,-0.000319135,-0.000309338
0.011,0,-0.000322937,-0.00031305
0.0111,0,-0.000327099,-0.000316111
0.0112,0,-0.000331522,-0.000318625
0.0113,0,-0.000336064,-0.00032075
0.0114,0,-0.00034056,-0.000322666
0.0115,0,-0.000344846,-0.000324555
0.0116,0,-0.000348778,-0.000326578
0.0117,0,-0.000352242,-0.000328856
0.0118,0,-0.000355183,-0.00033145
0.0119,0,-0.000357621,-0.00033433
0.012,0,-0.00035965,-0.000337383
0.0121,0,-0.00036141,-0.000340444
0.0122,0,-0.00036306,-0.000343323
0.0123,0,-0.000364756,-0.000345838
0.0124,0,-0.000366626,-0.000347837
0.0125,0,-0.000368749,-0.000349223
0.0126,0,-0.000371133,-0.000349984
0.0127,0,-0.000373694,-0.00035021
0.0128,0,-0.000376282,-0.00035007
0.0129,0,-0.00037871,-0.000349777
0.013,0,-0.000380784,-0.000349549
0.0131,0,-0.000382334,-0.000349579
0.0132,0,-0.000383239,-0.000350004
0.0133,0,-0.000383456,-0.00035087
0.0134,0,-0.000383046,-0.000352109
0.0135,0,-0.00038216,-0.000353544
0.0136,0,-0.000381008,-0.000354934
0.0137,0,-0.000379816,-0.000356019
0.0138,0,-0.000378795,-0.000356554
0.0139,0,-0.000378108,-0.000356351
0.014,0,-0.000377845,-0.000355308
0.0141,0,-0.000378012,-0.000353413
0.0142,0,-0.00037854,-0.00035075
0.0143,0,-0.000379281,-0.000347491
0.0144,0,-0.000380017,-0.000343886
0.0145,0,-0.000380488,-0.00034024
0.0146,0,-0.000380411,-0.000336882
0.0147,0,-0.000379516,-0.000334132
0.0148,0,-0.000377574,-0.000332261
0.0149,0,-0.000374442,-0.000331444
0.015,0,-0.000370091,-0.000331727
0.0151,0,-0.000364616,-0.000333014
0.0152,0,-0.000358219,-0.000335086
0.0153,0,-0.000351177,-0.000337639
0.0154,0,-0.000343808,-0.000340323
0.0155,0,-0.00033643,-0.000342786
0.0156,0,-0.000329331,-0.000344709
0.0157,0,-0.00032274,-0.000345843
0.0158,0,-0.00031681,-0.000346025
0.0159,0,-0.000311602,-0.000345196
0.016,0,-0.000307074,-0.000343416
0.0161,0,-0.000303084,-0.00034086
0.0162,0,-0.000299407,-0.000337797
0.0163,0,-0.000295766,-0.000334555
0.0164,0,-0.000291878,-0.000331469
0.0165,0,-0.000287493,-0.000328838
0.0166,0,-0.000282425,-0.000326883
0.0167,0,-0.000276596,-0.000325708
0.0168,0,-0.000270057,-0.000325262
