T/s,theta 1 torque / Nm,theta 2 torque / Nm
0,0,0
0.0001,0,0
0.0002,0,0
0.0003,0.007839564,0.007839564
0.0004,0.020821582,0.020821582
0.0005,0.037298537,0.037238951
0.0006,0.056144939,0.055828043
0.0007,0.076591656,0.075657247
0.0008,0.098108479,0.096047289
0.0009,0.120320118,0.116515222
0.001,0.142947692,0.136733275
0.0011,0.165769645,0.156496737
0.0012,0.188597429,0.1756972
0.0013,0.211262201,0.194298994
0.0014,0.23360938,0.212317853
0.0015,0.255498455,0.229801567
0.0016,0.276805785,0.246812876
0.0017,0.297428565,0.263415053
0.0018,0.322204681,0.284576768
0.0019,0.386922091,0.346171242
0.002,0.528411324,0.485026649
0.0021,0.771454516,0.725538827
0.0022,1.132887301,1.083336112
0.0023,1.624114322,1.5675785
0.0024,2.252800774,2.182701695
0.0025,3.019051656,2.924851321
0.0026,3.890122107,3.756939526
0.0027,4.830729288,4.639432398
0.0028,5.816385746,5.544396511
0.0029,6.829438563,6.452338011
0.003,7.856649587,7.355025833
0.0031,8.890274836,8.280125573
0.0032,9.955130471,9.260057385
0.0033,11.08150508,10.31655298
0.0034,12.29256949,11.4625771
0.0035,13.60495797,12.70463251
0.0036,15.0303888,14.04046706
0.0037,16.54830036,15.43438213
0.0038,18.12878729,16.84809462
0.0039,19.74368888,18.25526237
0.004,21.37157089,19.63904918
0.0041,22.9952361,21.01987032
0.0042,24.60940009,22.42924021
0.0043,26.24149458,23.8937828
0.0044,27.91906024,25.43028415
0.0045,29.66228098,27.04729234
0.0046,31.48629052,28.74656835
0.0047,33.40226708,30.49579255
0.0048,35.40036259,32.25598524
0.0049,37.4498727,33.99681512
0.005,39.51707474,35.69965577
0.0051,41.57486901,37.38560526
0.0052,43.60070305,39.08793837
0.0053,45.58173495,40.83555424
0.0054,47.54200896,42.64705742
0.0055,49.51335866,44.53074398
0.0056,51.52146642,46.48512299
0.0057,53.58757351,48.47265639
0.0058,55.72869751,50.44854704
0.0059,57.95667853,52.37706625
0.006,60.26732743,54.24063176
0.0061,62.62203488,56.06546518
0.0062,64.9747977,57.89006028
0.0063,67.28722271,59.74746337
0.0064,69.52963457,61.6630431
0.0065,71.68789277,63.65216085
0.0066,73.78923742,65.71919173
0.0067,75.87142889,67.84775605
0.0068,77.96763633,69.98825027
0.0069,80.10646411,72.08739884
0.007,82.30986566,74.10487111
0.0071,84.59073753,76.00704394
0.0072,86.95158654,77.80958554
0.0073,89.37946833,79.54089301
0.0074,91.82188143,81.23172553
