T/s,ref/rad,theta 1/rad,theta 2/rad
0,0,0,0
0.0001,0,-3.29E-05,-3.29E-05
0.0002,0,-6.58E-05,-6.58E-05
0.0003,0,-9.87E-05,-9.87E-05
0.0004,0,-0.000131595,-0.000131594
0.0005,0,-0.000164494,-0.000164492
0.0006,0,-0.000197395,-0.000197388
0.0007,0,-0.000230298,-0.000230282
0.0008,0,-0.000263202,-0.000263172
0.0009,0,-0.000296109,-0.00029606
0.001,0,-0.000329017,-0.000328945
0.0011,0,-0.000361927,-0.000361826
0.0012,0,-0.000394838,-0.000394706
0.0013,0,-0.000427749,-0.000427583
0.0014,0,-0.00046066,-0.00046046
0.0015,0,-0.00049357,-0.000493336
0.0016,0,-0.000526478,-0.000526212
0.0017,0,-0.000559383,-0.000559089
0.0018,0,-0.000592285,-0.000591968
0.0019,0,-0.000625185,-0.000624847
0.002,0,-0.000658083,-0.000657725
0.0021,0,-0.000690983,-0.000690597
0.0022,0,-0.000723893,-0.000723452
0.0023,0,-0.000756824,-0.000756277
0.0024,0,-0.000789787,-0.000789052
0.0025,0,-0.000822798,-0.000821758
0.0026,0,-0.000855868,-0.000854375
0.0027,0,-0.000889008,-0.000886885
0.0028,0,-0.000922219,-0.000919277
0.0029,0,-0.000955499,-0.000951548
0.003,0,-0.000988835,-0.000983705
0.0031,0,-0.001022207,-0.001015761
0.0032,0,-0.001055601,-0.001047725
0.0033,0,-0.001089015,-0.001079593
0.0034,0,-0.001122455,-0.001111346
0.0035,0,-0.001155935,-0.001142963
0.0036,0,-0.001189465,-0.001174418
0.0037,0,-0.001223054,-0.001205692
0.0038,0,-0.001256702,-0.001236775
0.0039,0,-0.001290391,-0.001267672
0.004,0,-0.001324094,-0.001298404
0.0041,0,-0.001357773,-0.001329001
0.0042,0,-0.001391391,-0.001359494
0.0043,0,-0.001424926,-0.001389895
0.0044,0,-0.001458378,-0.001420193
0.0045,0,-0.001491758,-0.00145036
0.0046,0,-0.001525086,-0.001480361
0.0047,0,-0.001558382,-0.00151016
0.0048,0,-0.001591655,-0.001539732
0.0049,0,-0.001624888,-0.00156908
0.005,0,-0.001658043,-0.001598234
0.0051,0,-0.00169106,-0.001627244
0.0052,0,-0.001723884,-0.001656161
0.0053,0,-0.001756477,-0.001685013
0.0054,0,-0.001788836,-0.001713785
0.0055,0,-0.001820994,-0.001742428
0.0056,0,-0.001853003,-0.001770865
0.0057,0,-0.001884923,-0.001799013
0.0058,0,-0.001916798,-0.001826804
0.0059,0,-0.001948643,-0.001854207
0.006,0,-0.001980419,-0.001881247
0.0061,0,-0.002012042,-0.001908004
0.0062,0,-0.002043402,-0.001934588
0.0063,0,-0.002074396,-0.001961099
