T/s,theta 1 velocity/rad/s, theta 2  velocity/rad/s
0,0,0
0.0001,0,0
0.0002,0,0
0.0003,0,0
0.0004,-3.84E-06,5.03E-06
0.0005,-1.30E-05,1.72E-05
0.0006,-2.75E-05,3.69E-05
0.0007,-4.63E-05,6.29E-05
0.0008,-6.72E-05,9.31E-05
0.0009,-8.80E-05,0.000124905
0.001,-0.000106271,0.000155485
0.0011,-0.000119725,0.00018237
0.0012,-0.00012671,0.000203615
0.0013,-0.000126199,0.000218024
0.0014,-0.000117902,0.000225232
0.0015,-0.000102247,0.000225692
0.0016,-8.03E-05,0.000220567
0.0017,-5.36E-05,0.000211562
0.0018,-2.39E-05,0.000200698
0.0019,4.47E-06,0.000193238
0.002,1.04E-05,0.000216579
0.0021,-3.96E-05,0.000315366
0.0022,-0.000180544,0.000537973
0.0023,-0.000440975,0.0009267
0.0024,-0.00083732,0.001510866
0.0025,-0.001370785,0.002302887
0.0026,-0.002024241,0.003294075
0.0027,-0.002749038,0.004436847
0.0028,-0.00347225,0.005652797
0.0029,-0.004111701,0.006850793
0.003,-0.004588637,0.007942085
0.0031,-0.004858208,0.00887576
0.0032,-0.005032575,0.009781033
0.0033,-0.005240542,0.010808468
0.0034,-0.005557475,0.012049744
0.0035,-0.006007715,0.013539739
0.0036,-0.006574037,0.015266823
0.0037,-0.007189101,0.017162517
0.0038,-0.007726968,0.019089101
0.0039,-0.008041804,0.020883327
0.004,-0.008017099,0.022413197
0.0041,-0.007573793,0.023587911
0.0042,-0.006803032,0.024511178
0.0043,-0.005926738,0.025437113
0.0044,-0.005122259,0.026571129
0.0045,-0.004491012,0.02803374
0.0046,-0.004069587,0.029872593
0.0047,-0.003835702,0.032068799
0.0048,-0.003593178,0.034404012
0.0049,-0.003065244,0.036565861
0.005,-0.002029203,0.03830124
0.0051,-0.00036427,0.039471285
0.0052,0.001829895,0.040188635
0.0053,0.004252791,0.040795702
0.0054,0.0065073,0.04174584
0.0055,0.008305064,0.04336991
0.0056,0.009512741,0.045823365
0.0057,0.010132525,0.049107866
0.0058,0.010404884,0.052952304
0.0059,0.010764872,0.056862256
0.006,0.011736463,0.06024084
0.0061,0.013773844,0.062570051
0.0062,0.016964326,0.063750388
0.0063,0.021038801,0.064089055
0.0064,0.025510758,0.064141244
0.0065,0.029794752,0.064574864
0.0066,0.033331132,0.06602832
0.0067,0.035781022,0.068889127
0.0068,0.037099423,0.073210043
0.0069,0.037586546,0.078648938
0.007,0.037801405,0.084567179
